,RunId,iteration,Step,width,height,sheep_reproduce,wolf_reproduce,wolf_gain_from_food,grass,grass_regrowth_time,sheep_gain_from_food,initial_sheep,initial_wolves,maximum_time_without_eat,Wolves,Sheep
0,0,0,0,20,20,0.04,0.05,20,True,30,4,50,50,100,50,50
1,0,0,10,20,20,0.04,0.05,20,True,30,4,50,50,100,59,12
2,1,0,0,20,20,0.04,0.05,20,True,30,4,50,100,100,100,50
3,1,0,10,20,20,0.04,0.05,20,True,30,4,50,100,100,121,5
4,2,0,0,20,20,0.04,0.05,20,True,30,4,100,50,100,50,100
5,2,0,10,20,20,0.04,0.05,20,True,30,4,100,50,100,66,18
6,3,0,0,20,20,0.04,0.05,20,True,30,4,50,150,100,150,50
7,3,0,10,20,20,0.04,0.05,20,True,30,4,50,150,100,163,2
8,4,0,0,20,20,0.04,0.05,20,True,30,4,100,100,100,100,100
9,4,0,10,20,20,0.04,0.05,20,True,30,4,100,100,100,131,16
10,5,0,0,20,20,0.04,0.05,20,True,30,4,150,50,100,50,150
11,5,0,10,20,20,0.04,0.05,20,True,30,4,150,50,100,77,25
12,6,0,0,20,20,0.04,0.05,20,True,30,4,100,150,100,150,100
13,6,0,10,20,20,0.04,0.05,20,True,30,4,100,150,100,192,1
14,7,1,0,20,20,0.04,0.05,20,True,30,4,50,50,100,50,50
15,7,1,10,20,20,0.04,0.05,20,True,30,4,50,50,100,51,16
16,8,0,0,20,20,0.04,0.05,20,True,30,4,150,100,100,100,150
17,8,0,10,20,20,0.04,0.05,20,True,30,4,150,100,100,138,7
18,9,1,0,20,20,0.04,0.05,20,True,30,4,50,100,100,100,50
19,9,1,10,20,20,0.04,0.05,20,True,30,4,50,100,100,108,5
20,10,0,0,20,20,0.04,0.05,20,True,30,4,150,150,100,150,150
21,10,0,10,20,20,0.04,0.05,20,True,30,4,150,150,100,208,4
22,11,1,0,20,20,0.04,0.05,20,True,30,4,100,50,100,50,100
23,11,1,10,20,20,0.04,0.05,20,True,30,4,100,50,100,66,27
24,12,1,0,20,20,0.04,0.05,20,True,30,4,50,150,100,150,50
25,12,1,10,20,20,0.04,0.05,20,True,30,4,50,150,100,160,1
26,13,1,0,20,20,0.04,0.05,20,True,30,4,100,100,100,100,100
27,13,1,10,20,20,0.04,0.05,20,True,30,4,100,100,100,118,9
28,14,1,0,20,20,0.04,0.05,20,True,30,4,100,150,100,150,100
29,14,1,10,20,20,0.04,0.05,20,True,30,4,100,150,100,202,4
30,15,1,0,20,20,0.04,0.05,20,True,30,4,150,50,100,50,150
31,15,1,10,20,20,0.04,0.05,20,True,30,4,150,50,100,67,40
32,16,1,0,20,20,0.04,0.05,20,True,30,4,150,100,100,100,150
33,16,1,10,20,20,0.04,0.05,20,True,30,4,150,100,100,124,14
34,17,2,0,20,20,0.04,0.05,20,True,30,4,50,50,100,50,50
35,17,2,10,20,20,0.04,0.05,20,True,30,4,50,50,100,70,18
36,18,1,0,20,20,0.04,0.05,20,True,30,4,150,150,100,150,150
37,18,1,10,20,20,0.04,0.05,20,True,30,4,150,150,100,195,4
38,19,2,0,20,20,0.04,0.05,20,True,30,4,50,100,100,100,50
39,19,2,10,20,20,0.04,0.05,20,True,30,4,50,100,100,111,6
40,20,2,0,20,20,0.04,0.05,20,True,30,4,50,150,100,150,50
41,20,2,10,20,20,0.04,0.05,20,True,30,4,50,150,100,196,4
42,21,2,0,20,20,0.04,0.05,20,True,30,4,100,50,100,50,100
43,21,2,10,20,20,0.04,0.05,20,True,30,4,100,50,100,63,24
44,22,2,0,20,20,0.04,0.05,20,True,30,4,100,100,100,100,100
45,22,2,10,20,20,0.04,0.05,20,True,30,4,100,100,100,106,10
46,23,2,0,20,20,0.04,0.05,20,True,30,4,100,150,100,150,100
47,23,2,10,20,20,0.04,0.05,20,True,30,4,100,150,100,189,5
48,24,2,0,20,20,0.04,0.05,20,True,30,4,150,50,100,50,150
49,24,2,10,20,20,0.04,0.05,20,True,30,4,150,50,100,74,29
50,25,2,0,20,20,0.04,0.05,20,True,30,4,150,100,100,100,150
51,25,2,10,20,20,0.04,0.05,20,True,30,4,150,100,100,134,10
52,26,3,0,20,20,0.04,0.05,20,True,30,4,50,50,100,50,50
53,26,3,10,20,20,0.04,0.05,20,True,30,4,50,50,100,66,18
54,27,3,0,20,20,0.04,0.05,20,True,30,4,50,100,100,100,50
55,27,3,10,20,20,0.04,0.05,20,True,30,4,50,100,100,126,6
56,28,2,0,20,20,0.04,0.05,20,True,30,4,150,150,100,150,150
57,28,2,10,20,20,0.04,0.05,20,True,30,4,150,150,100,202,1
58,29,3,0,20,20,0.04,0.05,20,True,30,4,50,150,100,150,50
59,29,3,10,20,20,0.04,0.05,20,True,30,4,50,150,100,174,2
60,30,3,0,20,20,0.04,0.05,20,True,30,4,100,50,100,50,100
61,30,3,10,20,20,0.04,0.05,20,True,30,4,100,50,100,65,19
62,31,3,0,20,20,0.04,0.05,20,True,30,4,100,100,100,100,100
63,31,3,10,20,20,0.04,0.05,20,True,30,4,100,100,100,125,7
64,32,3,0,20,20,0.04,0.05,20,True,30,4,100,150,100,150,100
65,32,3,10,20,20,0.04,0.05,20,True,30,4,100,150,100,198,2
66,33,3,0,20,20,0.04,0.05,20,True,30,4,150,50,100,50,150
67,33,3,10,20,20,0.04,0.05,20,True,30,4,150,50,100,67,24
68,34,3,0,20,20,0.04,0.05,20,True,30,4,150,100,100,100,150
69,34,3,10,20,20,0.04,0.05,20,True,30,4,150,100,100,142,12
70,35,4,0,20,20,0.04,0.05,20,True,30,4,50,50,100,50,50
71,35,4,10,20,20,0.04,0.05,20,True,30,4,50,50,100,60,14
72,36,3,0,20,20,0.04,0.05,20,True,30,4,150,150,100,150,150
73,36,3,10,20,20,0.04,0.05,20,True,30,4,150,150,100,208,3
74,37,4,0,20,20,0.04,0.05,20,True,30,4,50,100,100,100,50
75,37,4,10,20,20,0.04,0.05,20,True,30,4,50,100,100,125,3
76,38,4,0,20,20,0.04,0.05,20,True,30,4,50,150,100,150,50
77,38,4,10,20,20,0.04,0.05,20,True,30,4,50,150,100,164,3
78,39,4,0,20,20,0.04,0.05,20,True,30,4,100,50,100,50,100
79,39,4,10,20,20,0.04,0.05,20,True,30,4,100,50,100,61,28
80,40,4,0,20,20,0.04,0.05,20,True,30,4,100,100,100,100,100
81,40,4,10,20,20,0.04,0.05,20,True,30,4,100,100,100,130,8
82,41,4,0,20,20,0.04,0.05,20,True,30,4,100,150,100,150,100
83,41,4,10,20,20,0.04,0.05,20,True,30,4,100,150,100,180,4
84,42,4,0,20,20,0.04,0.05,20,True,30,4,150,50,100,50,150
85,42,4,10,20,20,0.04,0.05,20,True,30,4,150,50,100,58,36
86,43,4,0,20,20,0.04,0.05,20,True,30,4,150,100,100,100,150
87,43,4,10,20,20,0.04,0.05,20,True,30,4,150,100,100,138,7
88,44,5,0,20,20,0.04,0.05,20,True,30,4,50,50,100,50,50
89,44,5,10,20,20,0.04,0.05,20,True,30,4,50,50,100,65,15
90,45,4,0,20,20,0.04,0.05,20,True,30,4,150,150,100,150,150
